"Y","X","sex","g","t"
0,2.5634,"2","1",1985
0,3.2217,"2","1",1986
0,2.2509,"2","1",1986
0,3.3525,"2","2",1986
0,2.4382,"1","3",1986
0,2.6666,"2","2",1986
0,2.7056,"2","1",1986
0,2.5393,"2","1",1986
0,3.0817,"1","1",1986
0,3.8381,"2","1",1986
0,2.5692,"2","2",1986
0,2.4456,"1","3",1986
0,2.7219,"2","1",1986
0,3.6142,"2","3",1986
0,2.6928,"2","2",1986
0,2.9957,"1","1",1986
0,2.7303,"2","3",1986
0,2.6029,"2","1",1986
0,2.9976,"1","2",1986
0,3.5475,"2","2",1986
0,2.8863,"2","1",1986
0,3.2498,"2","1",1986
0,2.4373,"1","3",1986
0,2.8501,"1","1",1986
0,2.9368,"2","2",1986
0,2.8314,"2","1",1986
0,2.9026,"2","2",1986
0,3.0152,"2","1",1986
0,2.8763,"2","1",1986
1,2.5243,"2","1",1987
1,2.8539,"1","2",1987
1,2.7028,"1","1",1987
1,3.1901,"1","1",1987
1,3.0262,"2","1",1987
1,2.2999,"1","1",1987
1,2.5422,"2","2",1987
1,3.1235,"1","1",1987
1,2.9473,"2","2",1987
1,2.7865,"1","2",1987
1,3.2209,"2","1",1987
1,2.5842,"1","1",1987
1,2.925,"2","2",1987
1,3.1936,"2","2",1987
1,2.8247,"1","1",1987
1,2.3085,"2","1",1987
1,2.6823,"2","1",1987
1,2.9962,"1","1",1987
1,2.9812,"1","2",1987
1,3.0411,"1","2",1987
1,2.9999,"2","2",1987
1,2.4756,"1","2",1987
1,2.6685,"2","1",1987
1,2.6816,"1","2",1987
1,2.8464,"1","2",1987
1,3.1288,"1","1",1987
0,3.0748,"2","1",1987
0,2.6516,"2","1",1987
0,2.6853,"2","1",1987
0,2.7602,"2","2",1987
0,2.2505,"2","2",1987
0,2.9276,"2","2",1987
0,2.5168,"2","1",1987
0,2.6629,"2","2",1987
0,2.5915,"1","1",1987
0,2.6681,"2","1",1987
0,2.664,"2","2",1987
0,2.6054,"2","2",1987
0,3.0396,"2","2",1987
0,2.8202,"2","2",1987
0,2.6891,"2","1",1987
0,2.8501,"2","1",1987
0,2.8726,"2","2",1987
0,3.0674,"2","1",1987
0,2.8726,"2","3",1987
0,2.9213,"1","2",1987
0,2.6067,"2","2",1987
0,2.6292,"2","1",1987
0,2.8584,"1","1",1987
0,2.4868,"1","1",1987
0,2.7453,"2","3",1987
0,3.2731,"2","1",1987
0,3.0636,"2","2",1987
0,2.8295,"2","1",1987
0,2.8037,"2","2",1987
0,3.1074,"2","1",1987
1,2.887,"1","1",1988
1,3.1317,"1","2",1988
1,2.4176,"1","1",1988
1,2.6035,"2","1",1988
1,3.0996,"2","1",1988
1,3.0112,"1","1",1988
1,3.2172,"1","1",1988
1,2.4336,"1","1",1988
1,2.7303,"1","1",1988
1,3.0588,"1","1",1988
1,2.9737,"1","2",1988
1,2.8801,"2","1",1988
1,3.337,"1","2",1988
1,2.9924,"2","1",1988
1,3.2471,"1","2",1988
1,2.4108,"2","1",1988
1,2.6172,"2","2",1988
0,3.2778,"1","3",1988
0,2.2284,"2","2",1988
0,3.4505,"1","1",1988
0,2.8622,"1","1",1988
0,2.6217,"2","2",1988
0,3.2321,"1","2",1988
0,3.2321,"2","2",1988
0,3.1947,"2","1",1988
0,2.925,"1","3",1988
0,2.9812,"2","1",1988
0,3.1423,"2","2",1988
0,2.9625,"2","1",1988
0,2.2678,"2","2",1988
0,2.7003,"2","2",1988
0,2.5543,"1","2",1988
0,2.528,"2","1",1988
0,2.7453,"2","1",1988
0,2.7528,"2","3",1988
0,2.5131,"2","1",1988
0,2.5131,"2","1",1988
0,2.6778,"2","2",1988
0,2.9042,"2","1",1988
0,2.0898,"2","2",1988
1,3.1123,"1","2",1989
1,2.7319,"2","2",1989
1,3.9776,"1","1",1989
1,2.7041,"1","1",1989
1,2.8202,"1","2",1989
1,2.6581,"2","2",1989
1,2.8602,"2","1",1989
1,2.7494,"2","2",1989
1,3.1797,"2","1",1989
1,3.2284,"2","3",1989
1,3.3427,"2","2",1989
1,2.332,"1","2",1989
1,2.7265,"1","1",1989
1,3.352,"1","2",1989
1,3.2359,"1","1",1989
1,2.8843,"2","1",1989
1,2.37,"2","2",1989
1,2.8516,"1","1",1989
1,2.528,"2","2",1989
1,3.2017,"1","1",1989
1,2.6404,"2","1",1989
1,2.5217,"2","1",1989
0,2.955,"1","3",1989
0,3.4718,"1","1",1989
0,2.8239,"2","2",1989
0,2.7827,"2","2",1989
0,3.0128,"2","1",1989
0,2.7677,"1","1",1989
0,2.7827,"2","1",1989
0,2.4868,"2","2",1989
0,2.4307,"2","3",1989
0,2.4531,"2","1",1989
0,2.4186,"1","2",1989
0,2.4794,"2","1",1989
0,3.2846,"2","1",1989
0,2.5243,"2","2",1989
0,2.6241,"2","1",1989
0,2.9369,"2","1",1989
0,2.5173,"2","2",1989
0,2.6067,"2","1",1989
0,2.8651,"2","1",1989
0,2.9063,"2","2",1989
0,2.6288,"2","2",1989
0,2.8202,"2","1",1989
0,3.1424,"2","1",1989
1,2.5743,"2","2",1990
1,2.6005,"1","1",1990
1,3.3145,"2","1",1990
1,2.7041,"1","1",1990
1,2.7669,"1","2",1990
1,2.8426,"2","1",1990
1,2.8838,"1","1",1990
1,3.0037,"2","1",1990
1,2.4196,"1","2",1990
1,2.9213,"2","1",1990
1,2.4167,"1","1",1990
1,3.1341,"1","1",1990
1,2.7494,"2","1",1990
1,2.985,"1","1",1990
1,2.8632,"2","1",1990
1,2.985,"1","2",1990
1,2.4721,"1","2",1990
0,2.382,"2","2",1990
0,2.4949,"2","1",1990
0,2.5192,"2","1",1990
0,2.5604,"2","1",1990
0,2.8576,"2","1",1990
0,3.0443,"1","1",1990
0,2.7221,"1","3",1990
0,2.5917,"1","1",1990
0,2.3408,"2","2",1990
0,2.146,"2","2",1990
0,2.5617,"2","2",1990
0,2.4583,"2","1",1990
0,2.4419,"2","1",1990
0,2.3023,"2","2",1990
0,2.9063,"2","2",1990
0,2.4906,"1","1",1990
0,2.7128,"2","1",1990
0,2.7153,"2","2",1990
1,3.0748,"1","1",1991
1,3.3295,"2","1",1991
1,2.3379,"1","1",1991
1,2.7153,"1","2",1991
1,3.0037,"2","1",1991
1,2.7228,"2","1",1991
1,3.2748,"2","1",1991
1,2.9775,"2","1",1991
1,2.9962,"1","1",1991
1,2.6589,"2","1",1991
1,2.7377,"2","1",1991
1,3.1726,"1","2",1991
1,2.1423,"1","1",1991
1,2.7961,"2","2",1991
1,2.8801,"2","1",1991
1,3.0674,"1","2",1991
1,2.6657,"1","1",1991
1,3.2434,"1","1",1991
1,3.528,"1","1",1991
1,3.1235,"2","2",1991
1,3.3183,"2","1",1991
0,2.1535,"2","1",1991
0,2.6928,"2","1",1991
0,2.779,"2","2",1991
0,2.1573,"2","1",1991
0,2.5681,"2","3",1991
0,2.9883,"2","2",1991
0,2.4269,"2","1",1991
0,2.2809,"2","2",1991
0,2.6404,"2","2",1991
0,2.9792,"2","2",1991
0,2.8426,"2","2",1991
0,2.8923,"2","3",1991
0,3.2321,"2","2",1991
0,2.5393,"2","2",1991
0,3.0583,"2","1",1991
0,2.6704,"2","2",1991
0,2.9136,"1","1",1992
1,2.6891,"2","1",1992
1,2.248,"1","1",1992
1,2.5714,"1","1",1992
1,3.0149,"1","1",1992
1,2.5947,"1","2",1992
1,2.4663,"2","1",1992
1,2.5947,"1","1",1992
1,2.665,"1","3",1992
1,2.5487,"1","1",1992
1,2.8239,"1","1",1992
1,2.7582,"2","1",1992
1,2.4021,"1","2",1992
1,2.7136,"2","1",1992
1,3.0486,"2","1",1992
1,2.8287,"2","1",1992
1,2.6151,"2","1",1992
1,2.4021,"1","2",1992
1,2.8224,"2","1",1992
1,2.7827,"2","1",1992
1,3.7839,"1","2",1992
1,3.1685,"1","1",1992
1,2.6816,"1","2",1992
1,2.6554,"2","1",1992
1,2.7677,"2","1",1992
0,2.5805,"1","2",1992
0,2.0149,"2","2",1992
0,2.8651,"2","1",1992
0,3.1722,"2","1",1992
0,2.5018,"2","1",1992
0,2.8539,"2","2",1992
0,2.7565,"1","2",1992
0,2.8689,"2","1",1992
0,2.5093,"2","1",1992
0,2.7977,"2","2",1992
0,2.5056,"2","3",1992
0,2.0636,"2","1",1992
0,2.3904,"1","3",1992
0,3.1622,"2","2",1992
0,2.7752,"1","1",1992
0,2.9475,"2","1",1992
0,2.663,"2","1",1992
0,2.1535,"2","1",1992
0,3.1385,"2","2",1992
1,2.6151,"1","1",1993
1,2.8164,"1","2",1993
1,2.8988,"1","2",1993
1,2.9268,"2","1",1993
1,2.8801,"1","2",1993
1,2.8576,"1","1",1993
1,3.2396,"1","1",1993
1,2.6629,"2","2",1993
1,3.2434,"2","1",1993
1,2.2996,"1","2",1993
1,3.0599,"1","2",1993
1,2.9063,"2","1",1993
1,3.0861,"1","1",1993
1,2.7179,"1","2",1993
1,3.0187,"1","1",1993
1,3.3894,"1","1",1993
1,3.8801,"1","2",1993
1,2.9513,"1","1",1993
1,3.0074,"2","2",1993
1,3.2846,"1","2",1993
1,3.0224,"1","1",1993
1,3.131,"1","2",1993
1,2.6764,"1","1",1993
0,2.9976,"2","2",1993
0,3.4692,"2","2",1993
0,2.2599,"2","1",1993
0,2.6853,"1","2",1993
0,2.9416,"1","3",1993
0,2.4719,"1","2",1993
0,2.4756,"2","1",1993
0,3.6326,"2","2",1993
0,2.3895,"2","3",1993
0,2.6142,"1","1",1993
0,3.3145,"1","1",1993
0,3.1011,"2","1",1993
0,2.6329,"2","1",1993
0,3.0957,"2","1",1993
0,2.6708,"2","1",1993
0,3.2264,"2","1",1993
0,2.9136,"2","1",1993
0,3.035,"2","2",1993
0,3.063,"2","1",1993
0,3.091,"2","2",1993
0,3.0256,"2","1",1993
0,2.9136,"2","1",1993
0,2.3299,"2","2",1993
1,2.749,"2","1",1994
1,3.7265,"1","2",1994
1,3.2097,"2","2",1994
1,3.0374,"2","2",1994
1,3.2097,"1","1",1994
1,2.9363,"2","1",1994
1,3.0636,"2","1",1994
1,2.558,"1","1",1994
1,2.8876,"1","1",1994
1,2.9999,"1","2",1994
1,2.9026,"1","1",1994
0,2.1086,"1","1",1994
0,3.0711,"2","1",1994
0,2.6891,"2","2",1994
0,2.889,"1","1",1994
0,2.5018,"1","2",1994
0,3.2883,"2","2",1994
0,2.6891,"2","1",1994
0,2.4794,"2","1",1994
0,2.9213,"2","1",1994
0,2.7782,"2","1",1994
1,3.1909,"1","1",1994
1,3.4419,"2","2",1994
1,2.8351,"1","1",1994
1,2.9999,"1","1",1994
1,3.2696,"2","1",1994
0,2.9229,"2","1",1994
0,2.6194,"2","1",1994
0,3.3245,"2","3",1994
0,3.2217,"2","2",1994
0,2.8529,"2","2",1994
0,3.2883,"2","2",1994
0,2.7735,"2","1",1994
0,2.7221,"2","1",1994
0,2.9276,"2","2",1994
0,3.3105,"2","2",1994
0,2.8949,"2","1",1994
0,3.021,"2","1",1994
0,2.9026,"2","1",1994
1,3.0786,"2","1",1995
1,3.1947,"2","1",1995
1,3.5767,"1","2",1995
1,2.794,"1","2",1995
1,2.779,"1","1",1995
1,3.1123,"1","2",1995
1,3.2584,"1","2",1995
1,3.6891,"2","2",1995
1,2.9924,"2","1",1995
1,2.764,"1","1",1995
1,2.8389,"1","3",1995
0,2.9063,"1","2",1995
0,3.0187,"2","2",1995
0,2.4318,"2","1",1995
0,2.4943,"2","2",1995
0,3.2733,"2","1",1995
0,2.9509,"2","2",1995
0,2.8464,"2","2",1995
0,3.0863,"1","1",1995
0,2.5494,"1","3",1995
0,3.0224,"1","2",1995
1,3.0711,"2","1",1995
1,3.4868,"1","2",1995
1,3.0861,"2","1",1995
1,3.1835,"1","2",1995
1,3.0524,"1","2",1995
1,3.4044,"1","2",1995
1,3.2958,"2","1",1995
0,3.8614,"1","2",1996
0,2.6142,"2","1",1996
0,2.7265,"2","2",1996
0,2.6101,"2","1",1996
0,2.9213,"2","2",1996
0,2.1151,"2","1",1996
0,3.0256,"2","2",1996
0,3.2918,"2","1",1996
0,2.1478,"2","1",1996
1,3.0786,"2","1",1996
1,2.9026,"2","1",1996
1,2.9175,"2","1",1996
1,3.0561,"2","1",1996
1,3.2864,"1","2",1996
1,3.5018,"1","2",1996
1,3.0748,"2","1",1996
1,2.7378,"1","1",1996
0,2.7865,"2","2",1996
0,2.6292,"2","1",1996
0,2.7128,"2","1",1996
0,3.2544,"2","1",1996
1,3.0711,"2","1",1997
1,2.588,"1","2",1997
0,2.1985,"2","2",1997
0,2.5307,"2","2",1997
0,3.0074,"2","1",1997
0,2.6591,"2","1",1997
0,2.3595,"2","2",1997
0,2.4459,"2","2",1997
1,3.4494,"2","1",1997
1,3.3932,"2","1",1997
1,3.0187,"1","1",1997
1,2.6067,"2","1",1997
1,3.352,"1","2",1997
1,3.3183,"2","1",1997
1,2.9662,"1","1",1997
1,3.0936,"2","1",1997
0,2.8856,"2","1",1997
0,3.1143,"2","1",1997
1,3.2247,"2","1",1997
0,2.7548,"2","1",1997
0,3.1003,"2","1",1997
1,2.8857,"1","2",1998
1,2.297,"1","1",1998
0,2.7782,"2","1",1998
0,3.0636,"2","2",1998
0,2.8389,"2","3",1998
0,2.8539,"2","2",1998
0,2.6779,"2","3",1998
0,2.5018,"2","1",1998
0,2.6754,"2","1",1998
0,2.7453,"1","2",1998
0,2.5494,"1","1",1998
0,2.5543,"2","2",1998
0,3.2778,"2","1",1998
0,2.8389,"2","2",1998
0,2.9288,"2","1",1998
0,2.7875,"2","2",1998
0,2.5167,"2","3",1998
0,2.794,"2","2",1998
0,2.5617,"2","2",1998
1,2.9138,"1","2",1998
1,2.8277,"2","1",1998
1,3.367,"2","1",1998
1,3.0748,"2","1",1998
1,2.6516,"1","1",1998
1,2.8239,"2","1",1998
0,2.526,"2","2",1998
0,2.7455,"2","1",1998
1,3.1535,"1","2",1998
0,2.8155,"2","3",1998
0,2.7078,"2","1",1998
1,2.3445,"1","1",1999
1,2.367,"1","1",1999
1,2.8202,"2","2",1999
1,3.1235,"1","2",1999
0,2.9649,"2","1",1999
0,2.8716,"2","2",1999
0,2.588,"2","2",1999
0,2.8109,"2","1",1999
0,2.573,"2","2",1999
0,2.8988,"2","2",1999
0,3.2124,"2","2",1999
0,3.3712,"2","1",1999
0,2.2471,"2","1",1999
0,2.528,"2","3",1999
0,3.1872,"2","2",1999
1,3.4494,"1","1",1999
1,2.8164,"2","1",1999
1,2.925,"1","2",1999
1,2.543,"2","1",1999
1,3.6329,"2","2",1999
1,2.7078,"2","2",1999
1,2.7378,"2","2",1999
0,2.7968,"1","2",1999
0,2.9649,"2","3",1999
0,2.7782,"2","1",1999
1,2.7319,"1","2",2000
1,2.1569,"2","1",2000
1,2.8953,"1","2",2000
1,3.0748,"2","1",2000
0,2.7828,"2","1",2000
0,2.3258,"2","1",2000
0,2.3895,"2","2",2000
0,2.4307,"2","2",2000
0,2.1947,"2","2",2000
0,2.8426,"2","2",2000
0,3.4085,"2","1",2000
0,2.2284,"2","2",2000
0,2.4307,"2","1",2000
0,2.9924,"2","1",2000
1,2.4382,"1","2",2000
1,3.0973,"1","2",2000
1,2.9962,"1","2",2000
1,3.5306,"1","2",2000
1,3.4505,"1","1",2000
1,3.2621,"2","1",2000
1,2.6666,"1","1",2000
1,3.2733,"1","2",2000
1,3.2709,"1","2",2000
0,2.7752,"2","1",2000
1,3.0411,"1","1",2001
0,2.7715,"2","2",2001
0,2.9063,"2","1",2001
0,2.779,"2","2",2001
0,2.5318,"2","2",2001
0,2.5767,"2","1",2001
0,2.2734,"2","2",2001
0,2.6142,"2","1",2001
0,2.5767,"2","1",2001
0,2.8249,"2","2",2001
0,2.0074,"2","1",2001
0,2.4233,"2","2",2001
1,3.1984,"1","1",2001
1,2.5655,"2","2",2001
1,3.0486,"2","1",2001
1,2.8576,"2","1",2001
1,3.0074,"2","2",2001
1,3.4981,"1","2",2001
1,3.5018,"2","1",2001
1,3.2434,"1","2",2001
0,2.7827,"2","1",2001
0,2.5543,"1","2",2001
0,2.4756,"2","3",2001
0,2.4719,"2","1",2001
0,3.2918,"2","2",2001
0,3.1423,"2","1",2001
0,2.8762,"2","1",2001
0,2.6381,"2","2",2001
0,2.7502,"2","3",2001
0,2.7865,"2","1",2001
0,3.1984,"1","3",2001
0,2.6479,"2","1",2001
0,2.2132,"2","1",2002
0,2.4981,"1","2",2002
0,2.6629,"2","1",2002
0,2.322,"2","1",2002
0,3.0224,"2","2",2002
0,2.6292,"2","1",2002
0,2.7041,"2","1",2002
0,2.2879,"2","1",2002
0,2.526,"1","2",2002
0,2.6741,"2","1",2002
1,2.4569,"2","1",2002
1,3.1647,"1","1",2002
1,2.8876,"1","1",2002
1,3.5205,"2","1",2002
1,2.6853,"2","1",2002
1,2.9672,"1","1",2002
1,3.5205,"2","1",2002
1,3.0486,"1","1",2002
1,2.9962,"2","1",2002
1,3.1423,"2","2",2002
1,3.2584,"2","1",2002
1,3.0674,"2","1",2002
1,2.8988,"1","1",2002
1,3.2209,"2","2",2002
0,2.8295,"2","1",2002
1,3.131,"2","2",2002
1,3.352,"1","1",2002
1,2.9737,"1","1",2002
1,3.5355,"1","1",2002
1,3.4381,"1","2",2002
1,2.5955,"2","1",2002
1,3.1385,"1","1",2002
1,2.5543,"1","2",2002
1,3.352,"1","1",2002
0,2.5494,"2","1",2002
0,3.1143,"2","3",2002
0,2.8482,"2","1",2002
0,3.0075,"2","1",2002
0,2.6479,"2","2",2002
0,3.1844,"2","1",2002
0,2.5961,"1","1",2002
0,2.7361,"2","1",2002
0,2.9463,"2","2",2002
0,2.8716,"2","2",2002
1,2.6516,"1","1",2003
1,3.2396,"2","1",2003
1,2.9438,"1","1",2003
1,2.7228,"2","1",2003
1,3.1685,"1","2",2003
1,2.8464,"1","1",2003
1,2.6179,"1","2",2003
1,2.5205,"2","1",2003
1,3.1348,"2","2",2003
1,2.9999,"1","2",2003
1,3.2022,"2","1",2003
1,3.0599,"1","2",2003
1,3.4606,"2","1",2003
1,3.1872,"2","1",2003
1,3.337,"2","1",2003
1,3.2284,"2","2",2003
